STATE,ZIPCODE,Number of returns,Adjusted gross income (AGI),Avg AGI,Number of returns with total income,Total income amount,Avg total income,Number of returns with taxable income,Taxable income amount,Avg taxable income
FL,32609,7290,231708,31.78436214,7290,234358,32.1478738,5030,125558,24.96182903
FL,32615,6120,347800,56.83006536,6120,352803,57.64754902,4770,234721,49.20775681
FL,32617,1720,72150,41.94767442,1720,73128,42.51627907,1210,43263,35.75454545
FL,32618,2970,134148,45.16767677,2970,135602,45.65723906,2210,84097,38.05294118
FL,32619,1910,71520,37.44502618,1910,72253,37.82879581,1320,39563,29.9719697
FL,32621,2080,67708,32.55192308,2080,68431,32.89951923,1360,35085,25.79779412
FL,32622,570,28219,49.50701754,570,28426,49.87017544,440,18015,40.94318182
FL,32625,680,31440,46.23529412,680,32045,47.125,440,19878,45.17727273
FL,32626,2570,93915,36.54280156,2570,94979,36.95680934,1720,51808,30.12093023
FL,32628,1460,56206,38.49726027,1460,56734,38.85890411,1000,30942,30.942
FL,32631,240,16159,67.32916667,240,16322,68.00833333,210,11778,56.08571429
FL,32640,4020,162068,40.31542289,4020,163743,40.73208955,2880,95362,33.11180556
FL,32641,5460,154052,28.21465201,5460,155458,28.47216117,3380,73679,21.79852071
FL,32643,4360,219773,50.40665138,4360,222353,50.9983945,3350,142559,42.55492537
FL,32648,130,4955,38.11538462,130,5004,38.49230769,80,2453,30.6625
FL,32653,6420,451817,70.37647975,6420,458201,71.37087227,5250,330622,62.97561905
FL,32656,5560,239368,43.05179856,5560,241600,43.45323741,4050,144189,35.60222222
FL,32666,2500,121845,48.738,2500,123441,49.3764,1880,79337,42.20053191
FL,32667,1670,99582,59.62994012,1670,100824,60.37365269,1290,70401,54.5744186
FL,32668,1990,87331,43.88492462,1990,88624,44.53467337,1370,54010,39.42335766
FL,32669,5860,392671,67.00870307,5860,397998,67.91774744,4700,278683,59.29425532
FL,32680,2980,108191,36.3057047,2980,109184,36.63892617,1870,59500,31.81818182
FL,32686,1790,171824,95.99106145,1790,173064,96.68379888,1190,132995,111.7605042
FL,32693,4190,163725,39.075179,4190,165869,39.58687351,2920,92075,31.53253425
FL,32694,750,30807,41.076,750,31147,41.52933333,540,17455,32.32407407
FL,32696,4910,205314,41.81547862,4910,208170,42.39714868,3420,123350,36.06725146
FL,32701,11290,474596,42.03684677,11290,481453,42.64419841,8530,305186,35.77796014
FL,32702,1380,52124,37.77101449,1380,52697,38.18623188,920,29453,32.01413043
FL,32703,21460,858789,40.01812675,21460,868300,40.46132339,14990,504208,33.63629086
FL,32707,17010,738850,43.43621399,17010,748083,43.97901235,13100,471837,36.0180916
FL,32708,20860,1334575,63.97770853,20860,1353680,64.89357622,16780,955770,56.95887962
FL,32709,1140,45436,39.85614035,1140,45906,40.26842105,800,27570,34.4625
FL,32712,19780,1110475,56.14130435,19780,1125243,56.88791709,15050,730718,48.55269103
FL,32713,9220,527705,57.23481562,9220,533850,57.90130152,7300,361866,49.57068493
FL,32714,18020,796294,44.18945616,18020,807265,44.79827969,13600,518141,38.09860294
FL,32720,12390,549297,44.33389831,12390,557117,44.96505246,8690,341322,39.27756041
FL,32724,14220,705749,49.63073136,14220,714952,50.27791842,10330,460996,44.62691191
FL,32725,20130,749798,37.24778937,20130,757494,37.63010432,14420,424137,29.4131068
FL,32726,8510,367265,43.15687427,8510,372120,43.72737955,5970,226911,38.00854271
FL,32730,2760,98650,35.74275362,2760,99778,36.15144928,1970,58736,29.81522843
FL,32732,2470,150761,61.03684211,2470,153813,62.27246964,1860,105133,56.52311828
FL,32735,1990,95628,48.05427136,1990,96544,48.51457286,1540,60528,39.3038961
FL,32736,4180,262561,62.81363636,4180,267359,63.96148325,3230,182776,56.5869969
FL,32738,18740,689143,36.77390608,18740,695569,37.11680896,13490,381941,28.31289844
FL,32744,1660,66030,39.77710843,1660,66977,40.34759036,1180,40242,34.10338983
FL,32746,19390,1612518,83.16235173,19390,1637800,84.4662197,16100,1228337,76.2942236
FL,32750,11130,590713,53.07394429,11130,598654,53.78742138,8650,399230,46.15375723
FL,32751,10240,904139,88.29482422,10240,920831,89.92490234,8280,706512,85.32753623
FL,32754,4840,241431,49.88243802,4840,243599,50.3303719,3590,159207,44.34735376
FL,32757,10750,654221,60.85776744,10750,663707,61.74018605,8230,454152,55.18250304
FL,32759,1150,45440,39.51304348,1150,46075,40.06521739,760,27477,36.15394737
FL,32763,9220,358306,38.86182213,9220,361922,39.25401302,6740,208190,30.88872404
FL,32764,1470,70419,47.90408163,1470,71660,48.74829932,1090,46269,42.44862385
FL,32765,25570,1686681,65.96327728,25570,1710118,66.87985921,20710,1203230,58.098986
FL,32766,6550,563715,86.06335878,6550,571245,87.2129771,5480,417424,76.17226277
FL,32767,990,30458,30.76565657,990,30795,31.10606061,630,15180,24.0952381
FL,32771,22640,1239350,54.74160777,22640,1257023,55.52221731,16440,843279,51.29434307
FL,32773,13450,486612,36.17933086,13450,492104,36.58765799,9400,276511,29.41606383
FL,32776,5040,304029,60.32321429,5040,308845,61.27876984,3820,207881,54.41910995
FL,32778,8490,423989,49.93981154,8490,428940,50.5229682,6260,271346,43.34600639
FL,32779,13590,1608171,118.3348786,13590,1636293,120.4041943,11210,1296325,115.6400535
FL,32780,15970,782396,48.99160927,15970,791618,49.569067,11830,520006,43.95655114
FL,32784,4530,187341,41.35562914,4530,189892,41.9187638,3110,111121,35.73022508
FL,32789,11920,2060511,172.8616611,11920,2095350,175.784396,9720,1776842,182.8026749
FL,32792,22300,1044273,46.82838565,22300,1058533,47.46784753,16840,695142,41.27921615
FL,32796,8610,404065,46.92973287,8610,408220,47.41231127,6360,263757,41.47122642
FL,32798,1660,58011,34.94638554,1660,58536,35.2626506,1090,31231,28.65229358
FL,32801,7620,546543,71.72480315,7620,556522,73.0343832,6330,433398,68.46729858
FL,32803,11230,743104,66.1713268,11230,755695,67.29252004,9430,566245,60.04718982
FL,32804,9280,856016,92.24310345,9280,874702,94.25668103,7720,678239,87.85479275
FL,32805,9680,229881,23.74803719,9680,232149,23.98233471,5140,101306,19.70933852
FL,32806,13530,903609,66.78558758,13530,918156,67.86075388,11000,675736,61.43054545
FL,32807,15710,455352,28.98485041,15710,460033,29.28281349,10390,232719,22.39836381
FL,32808,22070,526035,23.83484368,22070,531227,24.07009515,12540,212813,16.97073365
FL,32809,14470,489809,33.84996545,14470,495784,34.26288874,8640,267248,30.93148148
FL,32810,15500,551474,35.57896774,15500,558074,36.00477419,10620,316345,29.78766478
FL,32811,19060,464517,24.37130115,19060,469286,24.62151102,11930,211090,17.69404862
FL,32812,16870,805491,47.74694724,16870,816004,48.37012448,12690,533463,42.03806147
FL,32814,3850,492452,127.9096104,3850,501397,130.232987,3460,409050,118.2225434
FL,32817,15330,666607,43.48382257,15330,675163,44.0419439,11320,433085,38.25839223
FL,32818,22070,651624,29.5253285,22070,657990,29.81377435,13930,310993,22.32541278
FL,32819,13700,1099397,80.2479562,13700,1116678,81.50934307,10570,848526,80.27682119
FL,32820,3870,230497,59.55994832,3870,233242,60.26925065,2960,155140,52.41216216
FL,32821,11140,377677,33.90278276,11140,382154,34.30466786,8350,235455,28.19820359
FL,32822,27280,760257,27.86865836,27280,767726,28.14244868,17850,372081,20.84487395
FL,32824,19680,685772,34.84613821,19680,693159,35.2214939,13620,363229,26.66879589
FL,32825,26480,1110159,41.92443353,26480,1122325,42.38387462,19550,680680,34.8173913
FL,32826,9690,352920,36.42105263,9690,356678,36.80887513,6690,205463,30.71195815
FL,32827,4360,430483,98.73463303,4360,436504,100.1155963,3570,334641,93.73697479
FL,32828,26580,1559088,58.65643341,26580,1579025,59.40650865,20960,1063800,50.75381679
FL,32829,9140,435614,47.66017505,9140,440543,48.19945295,7090,277606,39.15458392
FL,32832,8200,577172,70.38682927,8200,584715,71.30670732,6690,407294,60.88101644
FL,32833,4170,215001,51.55899281,4170,217356,52.12374101,3180,137893,43.36257862
FL,32835,20720,987289,47.64908301,20720,1000862,48.30415058,15330,659525,43.02185258
FL,32836,8680,1048011,120.7385945,8680,1062407,122.3971198,6980,859954,123.2025788
FL,32837,25160,1129411,44.88914944,25160,1142529,45.41053259,18600,712512,38.30709677
FL,32839,25440,671575,26.39838836,25440,678263,26.66128145,15410,314138,20.3853342
FL,32901,9630,380142,39.47476636,9630,384964,39.97549325,6660,239824,36.00960961
FL,32903,6740,570482,84.64124629,6740,580911,86.18857567,5500,435101,79.10927273
FL,32904,13590,755953,55.62568065,13590,764908,56.28462104,10790,517681,47.97784986
FL,32905,10710,369061,34.45947712,10710,373473,34.87142857,7360,215497,29.2794837
FL,32907,18600,739700,39.7688172,18600,746670,40.14354839,13530,438562,32.41404287
FL,32908,5000,183140,36.628,5000,185000,37,3540,101580,28.69491525
FL,32909,13940,564486,40.49397418,13940,569948,40.88579627,10050,335120,33.34527363
FL,32920,5260,275436,52.36425856,5260,279642,53.16387833,4070,194782,47.85798526
FL,32922,6080,191606,31.51414474,6080,194253,31.94950658,3320,105794,31.86566265
FL,32925,640,28412,44.39375,640,28743,44.9109375,520,16532,31.79230769
FL,32926,9880,457499,46.3055668,9880,461787,46.7395749,7150,299274,41.8565035
FL,32927,11950,536717,44.91355649,11950,541609,45.32292887,9230,341075,36.95287107
FL,32931,7220,551976,76.45096953,7220,559906,77.54930748,5790,423578,73.15682211
FL,32934,8190,557190,68.03296703,8190,564743,68.95518926,6440,406129,63.06350932
FL,32935,19170,747109,38.97282212,19170,755515,39.41131977,14200,463905,32.6693662
FL,32937,13050,1103422,84.55340996,13050,1120622,85.87141762,10610,853491,80.44213007
FL,32940,17770,1433824,80.68790096,17770,1451820,81.70061902,14940,1067248,71.4356091
FL,32948,2670,86355,32.34269663,2670,87040,32.59925094,1600,40004,25.0025
FL,32949,1020,65942,64.64901961,1020,66839,65.52843137,820,46660,56.90243902
FL,32950,2100,137364,65.41142857,2100,139446,66.40285714,1640,99140,60.45121951
FL,32951,5150,460201,89.35941748,5150,468311,90.93417476,4250,351197,82.63458824
FL,32952,10130,808347,79.79733465,10130,819483,80.89664363,8030,617293,76.87334994
FL,32953,10590,655691,61.91605288,10590,665098,62.80434372,8060,469281,58.22344913
FL,32955,17850,1089417,61.03176471,17850,1103685,61.83109244,14160,762758,53.8670904
FL,32958,12110,577138,47.65796862,12110,584407,48.25821635,9100,362437,39.82824176
FL,32960,9170,411863,44.91417666,9170,418972,45.68942203,6470,266705,41.22179289
FL,32962,10680,436843,40.90290262,10680,441914,41.37771536,7580,265940,35.08443272
FL,32963,7460,2742610,367.6420912,7460,2779397,372.5733244,6520,2299162,352.6322086
FL,32966,7770,423706,54.53101673,7770,429158,55.23268983,5970,285106,47.75644891
FL,32967,9420,570186,60.52929936,9420,578263,61.38673036,6720,389642,57.98244048
FL,32968,6100,379844,62.2695082,6100,386760,63.40327869,4740,264573,55.81708861
FL,32976,3690,140455,38.06368564,3690,141606,38.37560976,2600,84082,32.33923077
FL,33004,8080,322620,39.92821782,8080,327285,40.50556931,5650,201858,35.72707965
FL,33009,19120,890171,46.55706067,19120,903039,47.23007322,12660,596951,47.15252765
FL,33010,21420,473865,22.12254902,21420,479395,22.38071895,11890,185963,15.64028595
FL,33012,35360,967498,27.36136878,35360,978293,27.66665724,21490,435463,20.26351792
FL,33013,16620,411513,24.7601083,16620,416293,25.0477136,9770,180822,18.50788127
FL,33014,22250,824830,37.07101124,22250,834351,37.49892135,15150,490288,32.36224422
FL,33015,30480,1124883,36.90561024,30480,1136723,37.29406168,21360,625451,29.28141386
FL,33016,23090,856186,37.08038112,23090,867096,37.55288003,14840,496671,33.46839623
FL,33018,23130,820328,35.46597492,23130,829241,35.85131863,15640,442699,28.30556266
FL,33019,7540,856461,113.588992,7540,870824,115.4938992,6000,678380,113.0633333
FL,33020,21620,700664,32.40814061,21620,710267,32.85231267,14210,400247,28.16657284
FL,33021,23120,1372507,59.36448962,23120,1393169,60.25817474,17100,966643,56.52883041
FL,33023,33530,1009861,30.11813302,33530,1019317,30.40014912,21390,494659,23.12571295
FL,33024,35380,1521732,43.01107971,35380,1536915,43.44022046,25580,935589,36.57501955
FL,33025,31630,1246767,39.41723048,31630,1259666,39.82503952,23100,720546,31.19246753
FL,33026,14920,912142,61.13552279,14920,924464,61.9613941,11860,639041,53.88204047
FL,33027,27550,1705274,61.89742287,27550,1723937,62.57484574,21050,1151081,54.6831829
FL,33028,12300,866717,70.46479675,12300,876901,71.29276423,9780,608831,62.25265849
FL,33029,20680,1524036,73.69613153,20680,1542092,74.56924565,16530,1074129,64.98058076
FL,33030,13440,414623,30.8499256,13440,419672,31.22559524,6940,198872,28.65590778
FL,33031,2750,179874,65.40872727,2750,183356,66.67490909,1990,127280,63.95979899
FL,33032,17220,569045,33.04558653,17220,575137,33.39936121,10570,287397,27.18987701
FL,33033,23000,743161,32.31134783,23000,751381,32.66873913,13830,367056,26.54056399
FL,33034,7980,190301,23.84724311,7980,192235,24.089599,3830,71800,18.74673629
FL,33035,6010,245535,40.85440932,6010,248430,41.33610649,4140,142111,34.3263285
FL,33036,2020,231068,114.390099,2020,236201,116.9311881,1620,174945,107.9907407
FL,33037,7070,1204104,170.3117397,7070,1219981,172.5574257,5460,934809,171.2104396
FL,33040,17950,1183309,65.92250696,17950,1202705,67.00306407,14280,859822,60.21162465
FL,33042,3160,256608,81.20506329,3160,261714,82.82088608,2640,189230,71.6780303
FL,33043,2410,160115,66.43775934,2410,162594,67.46639004,1910,117691,61.61832461
FL,33050,5320,361071,67.87048872,5320,367099,69.00357143,3910,250943,64.1797954
FL,33054,13770,332647,24.1573711,13770,335843,24.38946986,7700,137654,17.87714286
FL,33055,22170,618384,27.89282815,22170,624094,28.1503834,13900,288081,20.7252518
FL,33056,18150,517434,28.50876033,18150,521401,28.72732782,11480,241152,21.00627178
FL,33060,16710,689722,41.27600239,16710,697776,41.75798923,10800,416825,38.59490741
FL,33062,13050,1331559,102.0351724,13050,1352845,103.6662835,10500,1036128,98.67885714
FL,33063,25990,1028284,39.56460177,25990,1039944,40.01323586,18940,615114,32.47697994
FL,33064,26270,1421661,54.11728207,26270,1441943,54.88934145,17170,990490,57.6872452
FL,33065,25600,1067917,41.71550781,25600,1081283,42.23761719,17760,642447,36.17381757
FL,33066,8630,380824,44.12792584,8630,385026,44.61483198,6360,244885,38.50393082
FL,33067,12970,1455093,112.1891288,12970,1478647,114.0051658,10430,1152453,110.4940556
FL,33068,25320,717197,28.32531596,25320,724550,28.6157188,16010,336547,21.02104934
FL,33069,12510,515838,41.23405276,12510,522314,41.75171863,8650,324116,37.4700578
FL,33070,3010,222233,73.83156146,3010,227038,75.42790698,2360,166285,70.45974576
FL,33071,18940,1274082,67.26937698,18940,1294097,68.32613516,14740,907958,61.59823609
FL,33073,14340,789497,55.0555788,14340,800375,55.81415621,10920,532568,48.76996337
FL,33076,14300,1673835,117.0513986,14300,1701189,118.9642657,11790,1317918,111.7826972
FL,33109,240,435729,1815.5375,240,439641,1831.8375,210,343454,1635.495238
FL,33125,24680,588567,23.84793355,24680,595867,24.14371961,14050,258724,18.41451957
FL,33126,24600,751051,30.53052846,24600,760045,30.89613821,15490,398313,25.71420271
FL,33127,14550,300956,20.68426117,14550,304103,20.90054983,7470,113281,15.1647925
FL,33128,2960,57453,19.4097973,2960,58229,19.67195946,1470,21527,14.64421769
FL,33129,7090,660420,93.14809591,7090,670540,94.57545839,5660,526807,93.0754417
FL,33130,12480,471493,37.77988782,12480,478139,38.31241987,7960,307430,38.6218593
FL,33131,9460,1935608,204.6097252,9460,1956015,206.7669133,7970,1689018,211.9219573
FL,33132,5540,557916,100.7068592,5540,565251,102.0308664,4520,454210,100.4889381
FL,33133,16370,2231990,136.3463653,16370,2272885,138.8445327,12550,1836334,146.3214343
FL,33134,19890,2073242,104.2353947,19890,2104196,105.7916541,14930,1681614,112.6332217
FL,33135,16080,361193,22.46225124,16080,365689,22.74185323,8720,154817,17.75424312
FL,33136,6460,170597,26.40820433,6460,173069,26.79086687,3660,85016,23.2284153
FL,33137,11030,805215,73.00226655,11030,816520,74.02719855,7950,618131,77.75232704
FL,33138,15300,972748,63.57830065,15300,986970,64.50784314,9950,723958,72.75959799
FL,33139,19770,3101940,156.9013657,19770,3138120,158.7314112,15720,2655530,168.9268448
FL,33140,10160,2111577,207.8323819,10160,2141244,210.7523622,7920,1779630,224.7007576
FL,33141,18400,1215300,66.04891304,18400,1232752,66.9973913,12810,908527,70.92326308
FL,33142,24590,520361,21.16148841,24590,526405,21.40727938,12910,195434,15.13818745
FL,33143,14280,2029703,142.1360644,14280,2060530,144.2948179,11220,1680585,149.7847594
FL,33144,13660,432880,31.68960469,13660,438187,32.07811127,8580,236476,27.56130536
FL,33145,14780,649202,43.92435724,14780,657809,44.50669824,10020,428031,42.71766467
FL,33146,4930,1087378,220.5634888,4930,1106312,224.4040568,4140,943964,228.010628
FL,33147,24300,530524,21.83226337,24300,536012,22.058107,12780,207957,16.27206573
FL,33149,5130,1399064,272.7220273,5130,1416696,276.1590643,4270,1212346,283.9217799
FL,33150,15560,340103,21.85751928,15560,343910,22.10218509,7840,141223,18.01313776
FL,33154,6960,1759869,252.8547414,6960,1772481,254.6668103,5250,1018397,193.980381
FL,33155,22910,1088817,47.52584024,22910,1103536,48.16831078,15910,720778,45.30345695
FL,33156,14800,3165251,213.8683108,14800,3211548,216.9964865,12030,2740782,227.8289277
FL,33157,30530,1758233,57.59033737,30530,1779424,58.28444153,21150,1213278,57.36539007
FL,33158,2980,476349,159.8486577,2980,486085,163.1157718,2500,396392,158.5568
FL,33160,19070,1977112,103.67656,19070,2004605,105.1182486,13630,1557796,114.2917095
FL,33161,27380,743546,27.15653762,27380,751446,27.44506939,16000,355455,22.2159375
FL,33162,22980,643252,27.99181897,22980,651656,28.35752829,13660,308049,22.5511713
FL,33165,28450,1139759,40.06182777,28450,1152616,40.51374341,18800,698708,37.16531915
FL,33166,12490,693061,55.48927142,12490,701746,56.1846277,9210,463578,50.33420195
FL,33167,10450,260472,24.92555024,10450,262730,25.14162679,6150,112526,18.29691057
FL,33168,15830,376463,23.78161718,15830,379971,24.00322173,9100,157427,17.29967033
FL,33169,21620,674883,31.21567993,21620,680598,31.4800185,13870,340313,24.53590483
FL,33170,5800,188665,32.52844828,5800,191563,33.02810345,3390,96101,28.34837758
FL,33172,21210,708382,33.39849128,21210,717588,33.83253182,14110,396716,28.11594614
FL,33173,16490,894521,54.24627047,16490,907661,55.04311704,12390,614242,49.5756255
FL,33174,15420,489602,31.75110246,15420,495626,32.14176394,9970,264756,26.5552658
FL,33175,27360,1164014,42.54437135,27360,1178062,43.05782164,18950,714818,37.72126649
FL,33176,24690,1798093,72.82677197,24690,1827348,74.01166464,18870,1336353,70.81891892
FL,33177,25880,871513,33.67515456,25880,880814,34.03454405,16900,452140,26.75384615
FL,33178,18360,1203460,65.54793028,18360,1218941,66.391122,13360,861999,64.52088323
FL,33179,21000,907734,43.22542857,21000,921037,43.85890476,14050,575531,40.9630605
FL,33180,14090,1510327,107.1914123,14090,1533002,108.8007097,10730,1183561,110.3039143
FL,33181,9120,509720,55.89035088,9120,517838,56.78048246,6240,359549,57.62003205
FL,33182,6920,335528,48.4867052,6920,339929,49.12268786,5020,214665,42.76195219
FL,33183,18310,761860,41.60895685,18310,771485,42.13462589,12850,465483,36.22435798
FL,33184,10690,401652,37.57268475,10690,406104,37.98914874,7080,233992,33.04971751
FL,33185,12620,654881,51.89231379,12620,662861,52.52464342,9290,410879,44.22809473
FL,33186,33090,1658080,50.10818979,33090,1678589,50.72798429,24790,1083910,43.7236789
FL,33187,7990,372319,46.59812265,7990,376825,47.1620776,5480,227707,41.55237226
FL,33189,11190,446740,39.92314567,11190,451952,40.38891868,7810,258729,33.12791293
FL,33190,5760,236345,41.03211806,5760,239073,41.50572917,4210,133389,31.68384798
FL,33193,22850,840214,36.77085339,22850,850312,37.21277899,15420,466771,30.27049287
FL,33194,2670,136962,51.29662921,2670,138507,51.8752809,1900,86180,45.35789474
FL,33196,21270,999367,46.98481429,21270,1010741,47.51955806,15540,620571,39.93378378
FL,33301,8540,1819908,213.1039813,8540,1846639,216.2340749,7310,1554598,212.6673051
FL,33304,10590,818015,77.24409821,10590,830664,78.43852691,8180,643252,78.63716381
FL,33305,6640,820690,123.5978916,6640,833220,125.4849398,5550,690219,124.3637838
FL,33306,2080,185400,89.13461538,2080,188831,90.78413462,1700,144015,84.71470588
FL,33308,15690,1913929,121.9840025,15690,1941147,123.718738,12790,1553605,121.4702893
FL,33309,19650,725045,36.89796438,19650,733933,37.3502799,13310,428777,32.21465064
FL,33311,33210,842649,25.3733514,33210,850087,25.59732008,18600,378957,20.37403226
FL,33312,25530,1163092,45.55785351,25530,1179173,46.18773991,17500,761465,43.51228571
FL,33313,28390,715140,25.18985558,28390,722166,25.43733709,16540,311101,18.80900846
FL,33314,11390,440841,38.70421422,11390,446533,39.20395083,7890,269926,34.21115336
FL,33315,6950,390686,56.21381295,6950,397974,57.26244604,5300,282206,53.24641509
FL,33316,6520,1214705,186.3044479,6520,1234759,189.3802147,5310,1029211,193.8250471
FL,33317,18320,973300,53.12772926,18320,985502,53.79377729,13340,654333,49.05044978
FL,33319,23520,782153,33.25480442,23520,790942,33.62848639,15620,423366,27.10409731
FL,33321,24580,993168,40.40553295,24580,1003510,40.82628153,17970,602646,33.53622705
FL,33322,19660,946374,48.1370295,19660,958883,48.77329603,14600,624439,42.76979452
FL,33323,10480,777363,74.17585878,10480,790539,75.43311069,8370,576252,68.84731183
FL,33324,22700,1645672,72.49656388,22700,1670893,73.60762115,18140,1244714,68.61708931
FL,33325,14000,978698,69.907,14000,991995,70.85678571,10750,712052,66.23739535
FL,33326,15390,1168113,75.90077973,15390,1185980,77.0617284,12010,859550,71.5695254
FL,33327,8520,1105374,129.7387324,8520,1121941,131.683216,6860,888961,129.5861516
FL,33328,12800,1044172,81.5759375,12800,1060047,82.81617188,10440,780889,74.79779693
FL,33330,6750,938013,138.9648889,6750,950998,140.8885926,5520,764690,138.5307971
FL,33331,10410,1267317,121.7403458,10410,1283854,123.3289145,8430,1000065,118.6316726
FL,33332,4470,607371,135.8771812,4470,615418,137.6774049,3650,494186,135.3934247
FL,33334,15790,701550,44.430019,15790,711225,45.04274858,11530,461492,40.02532524
FL,33351,17840,707086,39.63486547,17840,714658,40.05930493,13170,417190,31.67729689
FL,33401,12860,1358129,105.6087869,12860,1376676,107.0510109,9310,1062029,114.0740064
FL,33403,6610,217031,32.83373676,6610,220205,33.31391831,4430,121665,27.46388262
FL,33404,13390,934888,69.81986557,13390,945874,70.6403286,8590,689934,80.31827707
FL,33405,9610,537507,55.93204995,9610,546399,56.85733611,6430,378379,58.84587869
FL,33406,12360,476205,38.52791262,12360,482613,39.04635922,8510,284849,33.47226792
FL,33407,14410,501299,34.78827203,14410,508438,35.28369188,9010,282224,31.32341842
FL,33408,9730,1918557,197.1795478,9730,1939245,199.3057554,7980,1602388,200.8005013
FL,33409,14560,551440,37.87362637,14560,559275,38.41174451,10130,328073,32.38627838
FL,33410,17980,2266548,126.0593993,17980,2301303,127.9923804,14460,1833698,126.8117566
FL,33411,32450,1892300,58.31432974,32450,1916850,59.07087827,25120,1280890,50.99084395
FL,33412,7010,718972,102.563766,7010,731068,104.289301,5710,551739,96.6267951
FL,33413,7540,326507,43.30331565,7540,330678,43.85649867,5480,197168,35.97956204
FL,33414,25850,2454650,94.95744681,25850,2492705,96.42959381,20360,1839960,90.37131631
FL,33415,21430,612458,28.57946804,21430,618787,28.87480168,13380,297600,22.24215247
FL,33417,13930,442842,31.79052405,13930,447370,32.11557789,9270,240249,25.91682848
FL,33418,19360,2819252,145.6225207,19360,2864949,147.9829029,16150,2297660,142.269969
FL,33426,11530,511983,44.40442324,11530,518641,44.98187337,8930,329288,36.8743561
FL,33428,18260,1127902,61.76900329,18260,1146460,62.78532311,13540,793764,58.62363368
FL,33430,9670,269217,27.84043433,9670,274971,28.43547053,5450,125692,23.06275229
FL,33431,8600,1371563,159.4840698,8600,1392382,161.9048837,6670,1159060,173.7721139
FL,33432,10210,2566530,251.374143,10210,2599124,254.5665034,8070,2153517,266.8546468
FL,33433,21930,1710567,78.00123119,21930,1738465,79.27336981,17140,1264149,73.75431739
FL,33434,9700,1037495,106.9582474,9700,1050748,108.3245361,7460,802183,107.5312332
FL,33435,17670,1083934,61.34318053,17670,1097615,62.11743067,11960,781948,65.38026756
FL,33436,20750,1344892,64.81407229,20750,1362388,65.65725301,15730,959257,60.98264463
FL,33437,19160,1305699,68.14712944,19160,1319729,68.87938413,15090,917119,60.77660702
FL,33438,440,15510,35.25,440,15688,35.65454545,320,7592,23.725
FL,33440,8230,364113,44.24216282,8230,368245,44.74422843,5310,233605,43.99340866
FL,33441,13660,646154,47.30263543,13660,655896,48.01581259,9570,429037,44.83145246
FL,33442,13690,662520,48.3944485,13690,672825,49.14718773,10320,437637,42.40668605
FL,33444,11690,554941,47.47142857,11690,564078,48.25303678,7950,375949,47.28918239
FL,33445,16410,991922,60.44619135,16410,1005540,61.27605119,12290,705432,57.39886086
FL,33446,11270,1482396,131.5346939,11270,1503950,133.447205,8730,1199209,137.3664376
FL,33449,4190,507395,121.0966587,4190,515906,123.1279236,3460,392359,113.3985549
FL,33455,9220,1382058,149.8978308,9220,1402569,152.1224512,7310,1101610,150.6990424
FL,33458,24260,2317053,95.50919209,24260,2356067,97.11735367,19360,1792656,92.59586777
FL,33460,17310,506022,29.23292894,17310,512734,29.62068169,9530,268356,28.1590766
FL,33461,18900,539002,28.51862434,18900,544380,28.8031746,11360,267758,23.57024648
FL,33462,15120,1231559,81.45231481,15120,1241662,82.12050265,10630,955101,89.84957667
FL,33463,26000,998394,38.39976923,26000,1010198,38.85376923,17510,568411,32.46207881
FL,33467,23620,1601541,67.80444539,23620,1624383,68.7715072,18600,1128928,60.69505376
FL,33469,7560,1071316,141.7084656,7560,1087646,143.8685185,6200,865009,139.5175806
FL,33470,12500,708166,56.65328,12500,717075,57.366,9710,469339,48.33563337
FL,33471,1930,85882,44.4984456,1930,86750,44.94818653,1330,48327,36.33609023
FL,33472,8600,660732,76.82930233,8600,669114,77.80395349,6920,479731,69.32528902
FL,33473,3160,438990,138.9208861,3160,446570,141.3196203,2720,345839,127.1466912
FL,33476,2610,68660,26.30651341,2610,70019,26.82720307,1480,28784,19.44864865
FL,33477,6480,1667308,257.3006173,6480,1686595,260.2770062,5410,1405196,259.7404806
FL,33478,6140,486386,79.21596091,6140,495340,80.6742671,5010,356127,71.08323353
FL,33480,5570,3690602,662.5856373,5570,3727639,669.235009,4650,3054881,656.9636559
FL,33483,7110,1586054,223.073699,7110,1615621,227.2322082,5840,1325930,227.0428082
FL,33484,11670,784127,67.19168809,11670,793858,68.02553556,8570,575686,67.17456243
FL,33486,10600,1025100,96.70754717,10600,1042556,98.35433962,8490,807028,95.05630153
FL,33487,9380,1405496,149.8396588,9380,1427418,152.1767591,7680,1149553,149.6813802
FL,33493,1290,34252,26.55193798,1290,35062,27.17984496,750,13955,18.60666667
FL,33496,10710,2829955,264.2348273,10710,2864024,267.415873,8600,2351892,273.475814
FL,33498,6930,631572,91.13593074,6930,643261,92.82265512,5490,480157,87.46029144
FL,33510,13070,580239,44.39472073,13070,586589,44.88056618,9890,363775,36.78210313
FL,33511,25160,1245244,49.49300477,25160,1260581,50.10258347,19870,827504,41.64589834
FL,33513,3970,158035,39.80730479,3970,159780,40.24685139,2700,93058,34.46592593
FL,33514,760,25769,33.90657895,760,25974,34.17631579,490,13242,27.0244898
FL,33523,6540,268223,41.01269113,6540,271115,41.45489297,4350,158585,36.45632184
FL,33525,7200,382012,53.05722222,7200,387221,53.78069444,5230,253133,48.4001912
