STATE,ZIPCODE,Number of returns,Adjusted gross income (AGI),Avg AGI,Number of returns with total income,Total income amount,Avg total income,Number of returns with taxable income,Taxable income amount,Avg taxable income
AL,36830,15290,1098174,71.82302158,15290,1115528,72.95801177,12170,779824,64.07756779
AL,36832,7720,289985,37.56282383,7720,294164,38.10414508,5240,172614,32.94160305
AL,36850,1090,32562,29.8733945,1090,32880,30.16513761,720,15287,21.23194444
AL,36852,1000,34859,34.859,1000,35102,35.102,700,18922,27.03142857
AL,36853,3530,182490,51.69688385,3530,184964,52.39773371,2600,116153,44.67423077
AL,36854,6670,255167,38.25592204,6670,257094,38.54482759,4810,140870,29.28690229
AL,36855,570,21092,37.00350877,570,21196,37.18596491,410,11238,27.4097561
AL,36856,2690,117990,43.86245353,2690,119029,44.24869888,2070,62092,29.99613527
AL,36858,200,6783,33.915,200,6850,34.25,130,3422,26.32307692
AL,36860,700,20514,29.30571429,700,20713,29.59,450,9506,21.12444444
AL,36861,1270,68823,54.19133858,1270,69498,54.72283465,920,45578,49.54130435
AL,36862,2470,83059,33.62712551,2470,83960,33.99190283,1620,42384,26.16296296
AL,36863,5230,176129,33.67667304,5230,177481,33.93518164,3360,89003,26.4889881
AL,36866,1620,59807,36.91790123,1620,60574,37.39135802,1160,33532,28.90689655
AL,36867,8840,356107,40.28359729,8840,360137,40.73947964,6180,205603,33.26909385
AL,36869,9170,289981,31.62279171,9170,292145,31.85877863,6090,137790,22.62561576
AL,36870,7480,317348,42.42620321,7480,319717,42.74291444,5700,177289,31.10333333
AL,36871,440,21034,47.80454545,440,21438,48.72272727,280,13556,48.41428571
AL,36874,3350,164469,49.09522388,3350,166232,49.62149254,2540,100726,39.65590551
AL,36875,1930,81151,42.04715026,1930,81821,42.39430052,1400,46245,33.03214286
AL,36877,5050,234175,46.37128713,5050,236496,46.83089109,3840,140155,36.49869792
AL,36879,890,52941,59.48426966,890,53629,60.25730337,710,34863,49.1028169
AL,36904,1650,80926,49.04606061,1650,81802,49.5769697,1180,51262,43.44237288
AL,36907,690,23582,34.17681159,690,23798,34.48985507,460,12416,26.99130435
AL,36908,910,50552,55.55164835,910,50880,55.91208791,710,32258,45.43380282
AL,36912,710,22758,32.05352113,710,22917,32.27746479,460,11741,25.52391304
AL,36915,200,9845,49.225,200,9898,49.49,150,5946,39.64
AL,36916,240,10522,43.84166667,240,10581,44.0875,170,6619,38.93529412
AL,36919,740,32931,44.50135135,740,33108,44.74054054,500,19251,38.502
AL,36921,430,20927,48.66744186,430,21096,49.06046512,320,12486,39.01875
AL,36922,240,7649,31.87083333,240,7692,32.05,150,4020,26.8
AL,36925,1280,35250,27.5390625,1280,35578,27.7953125,720,15376,21.35555556
AK,99501,8510,589444,69.26486486,8510,599313,70.42455934,6830,452494,66.25095168
AK,99502,12060,940667,77.99892206,12060,956538,79.31492537,10500,725501,69.09533333
AK,99503,8530,486578,57.04314185,8530,493725,57.88100821,7050,356934,50.62893617
