Brewery,Borough,Neighborhood,Name,Style,Alcohol by Volume,RatingsCount,Rating
Finback,Queens,Glendale,Fort Tildenist,Belgian Witbier,4,13,4.03
Finback,Queens,Glendale,Life Form,New England IPA,8.2,13,4.27
Finback,Queens,Glendale,Pineapple Crush,New England IPA,8,13,4.1
Finback,Queens,Glendale,Surprise,American Imperial IPA,8,13,4.1
Finback,Queens,Glendale,Vermillion,American IPA,5.6,13,3.9
Finback,Queens,Glendale,Visible Spectrum,American IPA,6.2,135,4.15
Finback,Queens,Glendale,Don't Kill the Whale,New England IPA,7.6,14,4.16
Finback,Queens,Glendale,Finback / Great Notion - Rainbow Cookie,American Imperial Stout,10.2,14,4.21
Finback,Queens,Glendale,Finback / Tripping Animals - Cats are Forever,American Imperial IPA,9,14,4.39
Finback,Queens,Glendale,Heliopause,Belgian Saison,5.8,14,3.88
Finback,Queens,Glendale,Infinite Probability,American Imperial IPA,7,14,4.14
Finback,Queens,Glendale,Lean Back IPA,American IPA,5.5,14,3.96
Finback,Queens,Glendale,Multicolor,American Imperial IPA,8.4,14,4.31
Finback,Queens,Glendale,Replicator Rye,Rye Beer,5.5,14,4.08
Finback,Queens,Glendale,Finback / J Wakefield Smooth Beats Miami,American IPA,6.2,148,4.2
Finback,Queens,Glendale,Dematerialize,New England IPA,7.8,15,4.33
Finback,Queens,Glendale,Finite Element,New England IPA,7.5,15,3.87
Finback,Queens,Glendale,Something Simcoe,American IPA,6.5,15,4.27
Finback,Queens,Glendale,You,American Imperial IPA,8.6,15,4.25
Finback,Queens,Glendale,Linear,American Pale Ale (APA),5,16,3.93
Finback,Queens,Glendale,Oscillation 015,American Imperial IPA,8,16,4.24
Finback,Queens,Glendale,A Thousand Years,American Imperial Stout,10.3,17,4.39
Finback,Queens,Glendale,Bright Field,German Kölsch,5.4,17,3.91
Finback,Queens,Glendale,Green Star,Leipzig Gose,4,17,4.11
Finback,Queens,Glendale,Noise,Belgian Saison,4.4,17,4
Finback,Queens,Glendale,One Sixth Gravity,American IPA,5,17,3.84
Finback,Queens,Glendale,Spill The Tea,American Lager,5,17,4.05
Finback,Queens,Glendale,Two Regimes,New England IPA,8.3,17,4.28
Finback,Queens,Glendale,BQE - Salty Caramel,American Imperial Stout,10,18,4.32
Finback,Queens,Glendale,Lemon Lime Crush,American Imperial IPA,8,18,4.08
Finback,Queens,Glendale,Trees & Leaves,American IPA,5.7,18,4.11
Finback,Queens,Glendale,BQE - Barrel Aged,American Imperial Stout,10,182,4.41
Finback,Queens,Glendale,Another,American IPA,6.3,19,3.98
Finback,Queens,Glendale,Item,American IPA,5,19,4.16
Finback,Queens,Glendale,Kinda Sorta,New England IPA,8,19,4.27
Finback,Queens,Glendale,Latte,American Stout,7,19,4.16
Finback,Queens,Glendale,Massif,Baltic Porter,8.4,19,4.15
Finback,Queens,Glendale,MIES,Belgian Saison,7.5,19,4.02
Finback,Queens,Glendale,Whale Farm,American Imperial IPA,8,19,4.37
Finback,Queens,Glendale,Actual,American Imperial IPA,10.1,2,4.35
Finback,Queens,Glendale,Attain In Inner Peach,American Amber / Red Ale,0,2,3.75
Finback,Queens,Glendale,BQE - Mezcal Barrel Aged,American Imperial Stout,10,2,4.25
Finback,Queens,Glendale,BQE - Tequila Barrel Aged,American Imperial Stout,10,2,3.8
Finback,Queens,Glendale,Coastal Flats,New England IPA,6.9,2,4.11
Finback,Queens,Glendale,Conventional,American Imperial IPA,8.5,2,4.12
Finback,Queens,Glendale,Coolsies,New England IPA,4.7,2,3.09
Finback,Queens,Glendale,Deep Blue Ripples,American Imperial IPA,10,2,3.95
Finback,Queens,Glendale,Finback / Interboro - Crispy Buoy,German Pilsner,4.9,2,3.95
Finback,Queens,Glendale,Finback / Magnify / Temescal - Churro For Sure Oh,American Imperial Stout,13.8,2,4.77
Finback,Queens,Glendale,Fireball,American Wild Ale,6,2,4.35
Finback,Queens,Glendale,Knife Party,American Imperial IPA,8,2,3.81
Finback,Queens,Glendale,Moire- Papaya,American IPA,6,2,4
Finback,Queens,Glendale,Oscillation 019,New England IPA,8.5,2,3.95
Finback,Queens,Glendale,Puffin Smoked Porter,Smoke Porter,6.8,2,4.38
Finback,Queens,Glendale,Once Twice Three Times A Whale,New England IPA,8.2,20,4.31
Finback,Queens,Glendale,Split the Night,American Porter,6.4,20,4.07
Finback,Queens,Glendale,Finback / Mikkeller - Coquito,English Sweet / Milk Stout,8.2,21,4.35
Finback,Queens,Glendale,Sublimated,American Imperial IPA,8.2,21,4.08
Finback,Queens,Glendale,Darkly Chocolate Stout,American Stout,5.8,22,3.89
Finback,Queens,Glendale,Marduk,American IPA,6.8,22,3.95
Finback,Queens,Glendale,Wretched,American Imperial Stout,12.2,22,4.14
Finback,Queens,Glendale,BQE,American Imperial Stout,11.5,23,4.46
Finback,Queens,Glendale,Cat Love,New England IPA,8.6,23,4.14
Finback,Queens,Glendale,Double Something Mosaic,American Imperial IPA,8.5,23,4.46
Finback,Queens,Glendale,Horizontal Lines,German Pilsner,5.2,23,3.99
Finback,Queens,Glendale,Out Of Gamut,American Imperial IPA,8.5,23,4.07
Finback,Queens,Glendale,Premium,American IPA,7.6,23,4.25
Finback,Queens,Glendale,Shadowless,American Stout,7.4,23,4.11
Finback,Queens,Glendale,Trilateral,American IPA,7.5,23,4.15
Finback,Queens,Glendale,Ultramarine,New England IPA,7.1,23,4.18
Finback,Queens,Glendale,Crescent Fresh,American IPA,5.3,24,4.02
Finback,Queens,Glendale,Jewel Shard,American Imperial IPA,8.3,24,4.21
Finback,Queens,Glendale,So Cute,American Wild Ale,5,24,4
Finback,Queens,Glendale,Telephone Lines,Bohemian Pilsener,5.2,24,3.97
Finback,Queens,Glendale,Zero Point,Leipzig Gose,6,24,3.82
Finback,Queens,Glendale,Jadda!,American Imperial Stout,9.3,25,4.43
Finback,Queens,Glendale,Light Sensitive,New England IPA,7.6,25,4.25
Finback,Queens,Glendale,The Sun Is Too Bright,Leipzig Gose,4.5,25,4.02
Finback,Queens,Glendale,Heinous,American Imperial Stout,12,26,4.37
Finback,Queens,Glendale,BGHX,American IPA,5.3,27,4.22
Finback,Queens,Glendale,LAZY AX,Russian Imperial Stout,11,27,4.14
Finback,Queens,Glendale,Human,American Imperial IPA,8.4,28,4.07
Finback,Queens,Glendale,Psycho Killer,American IPA,7.4,29,4.18
Finback,Queens,Glendale,Apple Pie,American Wild Ale,6,3,4.09
Finback,Queens,Glendale,BQE Chestnut Vanilla,American Imperial Stout,10,3,4.28
Finback,Queens,Glendale,Finback / Fuerst Wiacek Evaporation,American Imperial IPA,7.5,3,4.37
Finback,Queens,Glendale,Finback / Transmitter - BFP1,American Wild Ale,5.9,3,4.06
Finback,Queens,Glendale,Insufferable,American Imperial Stout,12,3,4.33
Finback,Queens,Glendale,Land Lines,German Pilsner,4.7,3,3.91
Finback,Queens,Glendale,Me & The Multiverse,American Wild Ale,4.5,3,4.39
Finback,Queens,Glendale,Missing E,Belgian Saison,5,3,4.02
Finback,Queens,Glendale,Ok IPA,American IPA,4.5,3,4.53
Finback,Queens,Glendale,Permanently Night,American Imperial Stout,12,3,4.38
Finback,Queens,Glendale,Rauch Paper Sess,Smoke Beer,3.5,3,4.08
Finback,Queens,Glendale,Small Sour Stout,American Stout,2.5,3,4.12
Finback,Queens,Glendale,Szech Sess,Belgian Witbier,4.5,3,4.25
Finback,Queens,Glendale,Wilk & Honey,Belgian Strong Pale Ale,0,3,4.17
Finback,Queens,Glendale,En Verano,Chile Beer,5,30,3.95
Finback,Queens,Glendale,Something Citra,American IPA,6,30,4.23
Finback,Queens,Glendale,Auspicious Day,American Imperial IPA,9.8,31,4.24
Finback,Queens,Glendale,Faster Than Light,American Imperial Stout,11.3,31,4.3
Finback,Queens,Glendale,Matter & Memory,Belgian Saison,5.6,31,3.87
Finback,Queens,Glendale,Shine & Shade,American Imperial IPA,7.4,31,4.3
Finback,Queens,Glendale,All Caps,American IPA,6.4,32,4.19
Finback,Queens,Glendale,DDH Chromoscope,New England IPA,8,32,4.2
Finback,Queens,Glendale,Finback IPA,New England IPA,7.2,325,3.98
Finback,Queens,Glendale,Plumb And Proper,American Wild Ale,6.3,33,3.98
Finback,Queens,Glendale,Social Fabric,New England IPA,8,34,4.3
Finback,Queens,Glendale,Harambe,American Imperial Stout,8.3,36,4.3
Finback,Queens,Glendale,Origin,American Imperial IPA,8.2,36,4.28
Finback,Queens,Glendale,Orange Crush,New England IPA,8.3,38,4.38
Finback,Queens,Glendale,Fat Mango,New England IPA,7.6,39,4.36
Finback,Queens,Glendale,Fastness,American Imperial IPA,8.4,4,3.86
Finback,Queens,Glendale,Finback / Northern Monk Second Wind,American IPA,4.5,4,4.07
Finback,Queens,Glendale,Five Year Stout,American Imperial Stout,12,4,4.27
Finback,Queens,Glendale,Midnight Sea,American Imperial Stout,12,4,4.34
Finback,Queens,Glendale,One Wink,American Imperial Stout,9.3,4,3.85
Finback,Queens,Glendale,Opening Bash 2018,American IPA,7.8,4,4.22
Finback,Queens,Glendale,Remote Override,New England IPA,8.6,4,3.87
Finback,Queens,Glendale,Starfire,American Wild Ale,6,4,4.11
Finback,Queens,Glendale,Stasis,American Wild Ale,6.5,4,4.11
Finback,Queens,Glendale,The Fire Dance Bourbon,American Imperial Stout,13,4,4.31
Finback,Queens,Glendale,MK Ultra,American Imperial IPA,8.5,47,4.18
Finback,Queens,Glendale,Miasma,American Black Ale,7.2,49,3.92
Finback,Queens,Glendale,Brand New Family,German Kölsch,7.2,5,3.8
Finback,Queens,Glendale,Clearing,American IPA,6,5,3.83
Finback,Queens,Glendale,Exogenesis,American IPA,7.1,5,4
Finback,Queens,Glendale,Finback / Dry & Bitter - Song of the Whale,American Imperial IPA,8.3,5,4.36
Finback,Queens,Glendale,Finback / Horus - BA The Hawk & Whale,American Imperial Stout,13.5,5,4.44
Finback,Queens,Glendale,Highlighter,American IPA,7.2,5,4.08
Finback,Queens,Glendale,Lounge Saison,Belgian Saison,5,5,3.87
Finback,Queens,Glendale,Oscillation 018,American Imperial IPA,8.5,5,4.24
Finback,Queens,Glendale,Something 007,American IPA,6,5,3.96
Finback,Queens,Glendale,Stormy Water,American Wild Ale,6,5,4.16
Finback,Queens,Glendale,Surf Cooler,American Wild Ale,5.5,5,4.02
Finback,Queens,Glendale,Terraforming,American Wild Ale,6.6,5,4.12
Finback,Queens,Glendale,The Fire Dance Apple Brandy,American Imperial Stout,13,5,4.32
Finback,Queens,Glendale,Unoccupied Space,American Imperial Stout,12,5,4.41
Finback,Queens,Glendale,Red Shift,American Wild Ale,5.2,50,4.07
Finback,Queens,Glendale,Moby Hop,American Imperial IPA,8.3,58,4.13
Finback,Queens,Glendale,Caviar,American Imperial IPA,10,59,4.19
Finback,Queens,Glendale,Commission,New England IPA,8.3,6,4.23
Finback,Queens,Glendale,Double Something Citra,American Imperial IPA,8.5,6,4.16
Finback,Queens,Glendale,Finback / Northern Monk - Born Swimming,American IPA,5,6,4.13
Finback,Queens,Glendale,Lapis Lazuli,American IPA,5.4,6,3.88
Finback,Queens,Glendale,Leisure,American IPA,4.5,6,3.45
Finback,Queens,Glendale,Little Buddy,American IPA,5.6,6,3.75
Finback,Queens,Glendale,Living Breathing,American IPA,7,6,4.08
Finback,Queens,Glendale,Wee,German Kölsch,5.6,6,3.85
Finback,Queens,Glendale,You Are Never Alone,New England IPA,8.6,6,4.32
Finback,Queens,Glendale,Knoll,American IPA,5,67,3.96
Finback,Queens,Glendale,AOC,American Imperial IPA,8,7,4.07
Finback,Queens,Glendale,Breaking News,American IPA,7.1,7,3.96
Finback,Queens,Glendale,Covered in Cats,American IPA,7.4,7,3.97
Finback,Queens,Glendale,Fancy People,American Blonde Ale,5.5,7,3.88
Finback,Queens,Glendale,Fast Flowing,American Imperial IPA,8.6,7,4.29
Finback,Queens,Glendale,Finback / 4 Hands - Life Span,American Imperial IPA,8.8,7,4.37
Finback,Queens,Glendale,Finback / Deya - Cycloptic,American Imperial IPA,8.3,7,4.11
Finback,Queens,Glendale,Finback / Humble Sea - Surfing Sucks (Don't Try It),New England IPA,7.4,7,3.92
Finback,Queens,Glendale,Finback / Mikkeller - Yesterday’s Sunset,American IPA,7.2,7,4.17
Finback,Queens,Glendale,Finback/Track - Look Both ways,American Imperial IPA,8.5,7,4.2
Finback,Queens,Glendale,Five Year TIPA,New England IPA,10.1,7,4.01
Finback,Queens,Glendale,Oscillation 017,American Imperial IPA,8.4,7,4.31
Finback,Queens,Glendale,Summer Somewhere,German Hefeweizen,5.1,7,3.68
Finback,Queens,Glendale,The Shallows,American Pale Ale (APA),5.3,7,3.98
Finback,Queens,Glendale,Water On Mars,American IPA,7,7,4.07
Finback,Queens,Glendale,Rolling In Clouds,American IPA,7.1,72,4.14
Finback,Queens,Glendale,Meridian,American IPA,7,74,4.18
Finback,Queens,Glendale,Between The Dead,American Imperial Stout,10,77,4.43
Finback,Queens,Glendale,Echelon,American Imperial IPA,8.3,79,4.24
Finback,Queens,Glendale,Cerulean,American IPA,5,8,4.2
Finback,Queens,Glendale,Close Of Day,Belgian Saison,7.5,8,3.97
Finback,Queens,Glendale,Finback / Amundsen - Mindwipe,American IPA,6.7,8,4.05
Finback,Queens,Glendale,Finback / Interboro - Fat Peach,New England IPA,7.6,8,4.26
Finback,Queens,Glendale,Finback / Lamplighter - Collective Memory,American Imperial IPA,8,8,4.21
Finback,Queens,Glendale,Finback / Verdant - Tables in the Sun,American Imperial IPA,9.2,8,4.14
Finback,Queens,Glendale,Moire,American Imperial IPA,6.2,8,3.95
Finback,Queens,Glendale,Pataman,American IPA,7.5,8,4.23
Finback,Queens,Glendale,Plantlife,American Imperial IPA,9,8,4.07
Finback,Queens,Glendale,Space Case,Berliner Weisse,3,8,3.87
Finback,Queens,Glendale,Strawberry Cake,American IPA,7.3,8,3.93
Finback,Queens,Glendale,Vertical Lines,Bohemian Pilsener,5.4,8,4.06
Finback,Queens,Glendale,Yellow Cake,American IPA,7.3,8,4.12
Finback,Queens,Glendale,Intertidal IPA,American IPA,7,81,4.02
Finback,Queens,Glendale,Moss,American Imperial IPA,8.5,85,3.97
Finback,Queens,Glendale,Buddy System,American Imperial IPA,9.5,89,4.13
Finback,Queens,Glendale,Bitter Chris,American Pale Ale (APA),5,9,3.87
Finback,Queens,Glendale,Cats and Dogs,American Imperial IPA,8,9,4.07
Finback,Queens,Glendale,Finback / Big aLICe - Relaxation Cassette,American Wild Ale,8.8,9,3.92
Finback,Queens,Glendale,Flying Low,American IPA,6,9,4.06
Finback,Queens,Glendale,I Pumpkin A,Pumpkin Beer,7.1,9,3.91
Finback,Queens,Glendale,No Fun,American IPA,7.5,9,4.28
Finback,Queens,Glendale,Sensory,American IPA,7.5,9,4.05
Finback,Queens,Glendale,Sorta Queens,New England IPA,9,9,4.26
Finback,Queens,Glendale,Split second,American Adjunct Lager,5.4,9,3.98
Finback,Queens,Glendale,We Are All One,American Pale Ale (APA),5,9,3.71
Finback,Queens,Glendale,I Feel The Universe,Leipzig Gose,5,91,3.96
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Cloudbusting #4,American Imperial IPA,8,1,3.89
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Comic Sans,New England IPA,8,1,4.25
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Gathering - Red Currants and Peaches,American Wild Ale,6,1,4.25
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Gathering - Tart Cherries and Blackberries,American Wild Ale,6,1,4.19
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Gathering Quetsch Plums,American Wild Ale,6,1,4.27
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Niceties,American Wild Ale,6,1,4
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Skopos,German Pilsner,5.3,1,4
Grimm Artisanal Ales,Brooklyn,East Williamsburg,The Time Is Now,American Wild Ale,6,1,3.88
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Full Frequency,Berliner Weisse,3,10,4.06
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Magnetic Tape,American IPA,6.4,103,4.27
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Icing on the Cake,English Sweet / Milk Stout,10,106,4.1
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Kinetic Cloud,American Wild Ale,5,106,4.16
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Both Sides Now,American Wild Ale,6,11,4.27
Grimm Artisanal Ales,Brooklyn,East Williamsburg,City Vision,American IPA,8,11,4.14
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Flash Forward,American Pale Ale (APA),5.5,11,4.34
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Grimm / HaandBryggeriet - Trylletein,New England IPA,8,11,4.05
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Maximum Boogie,American Imperial IPA,10,11,4.3
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Solar Return,American Wild Ale,5,11,4.22
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Super Paradise,Leipzig Gose,4.7,11,3.76
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Catch Wave,New England IPA,7.5,119,4.26
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Circle of Fifths,American Wild Ale,4.8,12,4.11
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Festooning,German Märzen / Oktoberfest,5.7,12,3.99
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Gamelan Pop!,Berliner Weisse,6,12,4.15
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Matchbox Lambo,American IPA,4.5,12,4.21
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Sugarmaker,English Sweet / Milk Stout,11.5,128,4.12
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Blackberry Orange Pop!,Berliner Weisse,6,129,4.19
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Sense World,American Imperial IPA,8,13,4.04
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Spooky Action,Flanders Oud Bruin,8,13,4.11
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Zap,New England IPA,8,132,4.24
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Canopy Door,American Imperial IPA,8,14,4.33
Grimm Artisanal Ales,Brooklyn,East Williamsburg,"Cube: Cuvee #4 (Lemongrass, Chamomile, And Mouteka)",American Wild Ale,5,14,4.09
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Piña Pop!,Berliner Weisse,6,14,4.1
Grimm Artisanal Ales,Brooklyn,East Williamsburg,BFF,Belgian IPA,9,143,4.03
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Cherry Raspberry Pop!,Berliner Weisse,4.8,149,4.22
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Cinnamon Babka,English Sweet / Milk Stout,12,15,4.27
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Double Dry Hopped Pulse Wave,American Imperial IPA,0,15,4.1
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Energy Vibration,American Pale Ale (APA),5,15,4.22
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Hyperfocus - Galaxy,American Imperial IPA,8,15,4.32
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Talk Talk,American Imperial IPA,8,15,4.27
Grimm Artisanal Ales,Brooklyn,East Williamsburg,With Love From Grimm,Belgian Tripel,10,15,3.73
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Present Perfect,Berliner Weisse,4,152,4.26
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Dreamweapon,New England IPA,6.4,157,4.04
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Camoufleur,Belgian Saison,6.5,16,4.07
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Hyperfocus - Simcoe,American Imperial IPA,8,16,4.21
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Magnetic Cloud,American Imperial IPA,8,16,4.29
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Maximum Happiness,American IPA,7,16,4.12
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Maximum Joy,New England IPA,8,16,4.2
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Noon Moon,English Sweet / Milk Stout,12,16,4.27
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Shadow Work,Flanders Oud Bruin,7,16,3.93
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Awoogah,New England IPA,6.7,160,4.29
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Color Field,American Wild Ale,5.2,162,3.87
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Light Year,American Imperial IPA,8,164,4.29
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Future Days,American Wild Ale,6,17,4.35
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Tetraplex,American Imperial IPA,10,17,4.2
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Destination Neon,American Imperial IPA,8,18,4.23
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Hyperfocus - Cashmere,American Imperial IPA,8,18,4.28
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Splish,American Imperial IPA,8,182,4.23
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Pulse Wave,American Imperial IPA,8,195,4.25
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Anthos,German Pilsner,5,2,4.07
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Astral Sunset,American Imperial IPA,8,2,3.92
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Equal Temperament,American Wild Ale,6,2,4.16
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Grimm / Brasserie de la Senne - I Still Love the Old World,American Wild Ale,5.3,2,4.19
Grimm Artisanal Ales,Brooklyn,East Williamsburg,I Still Love the Old World,American Brett,5.3,2,4.14
Grimm Artisanal Ales,Brooklyn,East Williamsburg,No Hands Now,Leipzig Gose,3,2,3.84
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Sumi Zest,American Imperial Stout,11.5,2,4.25
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Trylleyein,American IPA,8,2,4.14
Grimm Artisanal Ales,Brooklyn,East Williamsburg,William of Ockham,American Wild Ale,6,2,4.35
Grimm Artisanal Ales,Brooklyn,East Williamsburg,1st Anniversary,American Imperial IPA,11,20,4.32
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Afterimage Magenta,American Imperial IPA,8,20,4.03
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Hyperfocus - Citra,American Imperial IPA,8,20,4.35
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Vacay,American Wild Ale,5.3,201,4.02
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Purple Prose,American Wild Ale,5.4,202,4.06
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Sunroof,American Pale Ale (APA),5.5,21,4.07
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Tracery,Belgian Saison,6,21,4.29
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Grimm / Other Half - Jam Don’t Shake,American Imperial Stout,17,22,4.03
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Hyperfocus - Mosaic,American Imperial IPA,8,22,4.2
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Lunar Return,American Wild Ale,5,22,4.24
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Midheaven,American Wild Ale,6,22,4.25
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Cloudbusting,New England IPA,8,225,4.24
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Rhythm Force,New England IPA,8,23,4.29
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Super Going,Leipzig Gose,4.8,232,4.18
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Telekinesis,American Wild Ale,5.2,243,4.23
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Maximum Delight,American IPA,8,27,4.08
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Spiritual Consultant,New England IPA,7.5,27,4.25
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Upstairs/Downstairs,American Imperial IPA,8,27,4.16
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Double Negative (Bourbon Barrel-Aged),American Imperial Stout,10.2,276,4.27
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Gravity of Smile,New England IPA,9,28,4.26
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Mango Guava Pop!,Berliner Weisse,4.8,28,4.18
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Air and Light,American Wild Ale,5,29,4.09
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Apricot Rebus,American Wild Ale,5.5,29,4.19
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Chocolate Cherry Icing On The Cake,American Imperial Stout,11,29,4.14
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Cube: Cuvee #2 (Orange Bitters Barrel),American Wild Ale,5.5,29,4.2
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Double Dry Hopped Afterimage,American Imperial IPA,8,29,4.31
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Magnetic Compass,New England IPA,6.4,295,4.43
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Bublik,Russian Kvass,2.2,3,3.76
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Gathering with Jester King,American Wild Ale,6,3,4.33
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Heliogram,American Wild Ale,5.5,3,4.03
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Rebus - Pineapple,American Wild Ale,5.7,3,4.08
Grimm Artisanal Ales,Brooklyn,East Williamsburg,seconds,English Dark Mild Ale,3.5,3,3.75
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Crystal Sync,Belgian Saison,6.3,30,3.87
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Crystal Vibration,American IPA,7,30,4.3
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Today’s Special,American Pale Ale (APA),5.5,31,4.16
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Super Spruce,Leipzig Gose,4.7,311,4.23
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Coffee Coconut Icing On The Cake,American Imperial Stout,11.5,32,4.15
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Psychokinesis,American Wild Ale,5,329,4.18
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Bees In The Trappe,Belgian Tripel,8,33,3.97
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Still Life,Belgian Saison,3.8,33,3.91
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Suicide Door,American Imperial IPA,10,34,4.34
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Rainbow Dome,American Wild Ale,5.4,346,4.17
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Energy Field,American Imperial IPA,8,35,4.23
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Signal To Noise,American Imperial IPA,8.5,35,4.21
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Sunshine Pop!,Berliner Weisse,4.8,35,4.09
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Cube: Cuvee #1,American Wild Ale,6.5,37,4.14
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Midnight Morning,American Imperial Stout,13,37,4.22
Grimm Artisanal Ales,Brooklyn,East Williamsburg,New Age,American Imperial IPA,8,37,4.18
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Striking,American Imperial IPA,8,37,4.2
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Sumi Babka,American Imperial Stout,12,37,4.28
Grimm Artisanal Ales,Brooklyn,East Williamsburg,Cloud Landing,American Imperial IPA,8,38,4.24
